id;product_id;rank;title
9259;4786;1;
9260;5471;1;
9261;5471;2;
9262;5427;1;
9263;5427;2;
9264;5462;1;
9265;5462;2;
9266;4771;2;
9267;4771;3;
9268;5452;2;
9269;5452;3;
9274;5293;1;
9281;4741;1;
9282;4741;2;
9283;5299;1;
9284;4742;1;
9286;4844;2;
9287;4844;1;
9290;4796;2;
9293;4979;1;
9294;4979;2;
9295;4981;1;
9296;4981;2;
9297;4977;1;
9298;4977;2;
9299;4978;1;
9300;4978;2;
9301;4980;1;
9302;4980;2;
9304;5348;2;
9306;5348;1;
9307;4825;1;
9322;5282;2;
9324;5166;2;
9325;5166;1;
9327;4846;1;
9328;4845;1;
9329;4835;1;
9330;4826;1;
9332;5309;1;
9339;5307;1;
9340;5308;1;
9342;5135;1;
9343;5135;2;
9346;4712;1;
9347;4810;1;
9348;4734;1;
9349;4768;1;
9352;4767;2;
9353;4796;1;
9361;5474;1;
9364;5475;1;
9369;5475;2;
9370;5475;3;
9371;5474;2;
9373;4747;2;
9379;4800;1;
9380;4800;3;
9381;4800;2;
9382;5439;1;
9383;5477;1;
9384;5477;2;
9386;5478;2;
9387;5478;1;
9389;4871;1;
9393;5479;1;
9394;5479;2;
9395;5480;NULL_VALUE;
9396;4748;1;
9398;4967;NULL_VALUE;
9406;4747;1;
9407;5367;2;
9411;5484;1;
9414;5484;2;
9415;5456;1;
9416;5456;2;
9417;5485;1;
9418;5485;2;
9419;5485;3;
9426;5487;2;
9427;5487;1;
9429;5488;2;
9430;5488;1;
9431;5489;1;
9432;5489;2;
9448;5490;2;
9449;5490;3;
9450;5490;4;
9452;5490;1;
9453;5491;1;
9454;5491;2;
9461;4739;2;
9462;4739;1;
9463;5493;1;
9464;5493;2;
9513;5221;1;
9514;5221;2;
9515;5221;3;
9516;4927;1;
9517;4927;2;
9518;4927;3;
9519;4927;4;
9521;4928;1;
9522;4928;2;
9523;4928;3;
9524;4928;4;
9525;4927;5;
9546;5464;1;
9578;5242;2;
9579;5242;3;
9580;5242;1;
9588;5510;1;
9589;5510;2;
9590;5326;1;
9591;5326;2;
9592;5076;1;
9593;5076;2;
9594;5076;3;
9595;5322;1;
9596;5322;2;
9597;5322;3;
9598;5511;1;
9599;5511;2;
9600;5176;1;
9601;5176;2;
9602;5175;1;
9603;5175;2;
9604;5175;3;
9606;5185;2;
9607;5185;1;
9608;5184;1;
9609;5184;2;
9611;5181;2;
9612;5181;1;
9614;5180;2;
9615;5180;1;
9616;5179;1;
9617;5179;2;
9618;5178;1;
9619;5178;2;
9622;5227;1;
9623;5227;2;
9624;5228;1;
9625;5228;2;
9626;5229;1;
9627;5229;2;
9628;5486;1;
9629;5486;2;
9630;5188;1;
9631;5188;2;
9632;5183;1;
9633;5183;2;
9634;5512;1;
9635;5512;2;
9636;5512;3;
9637;5513;1;
9638;5513;2;
9639;5182;1;
9640;5182;2;
9642;5186;2;
9644;5186;1;
9645;5187;1;
9646;5187;2;
9648;5230;2;
9649;5230;3;
9650;5230;4;
9651;5230;5;
9652;5230;1;
9654;5382;2;
9655;5382;3;
9656;5382;1;
9662;5105;1;
9663;5105;2;
9664;5197;1;
9665;5197;2;
9666;5514;1;
9667;5514;2;
9669;5194;1;
9670;5194;2;
9671;5196;1;
9672;5196;2;
9673;5195;1;
9674;5195;2;
9707;5273;NULL_VALUE;
9708;5278;1;
9709;5515;1;
9710;5515;2;
9717;5097;1;
9718;5097;2;
9719;5097;3;
9720;5352;1;
9721;5352;2;
9722;5352;3;
9723;5096;1;
9724;5096;2;
9725;5162;1;
9726;5162;2;
9727;5393;1;
9728;5393;2;
9729;5098;1;
9730;5098;2;
9731;5098;3;
9732;5351;1;
9733;5351;2;
9734;5351;3;
9736;5099;2;
9737;5099;3;
9738;5099;1;
9739;5095;1;
9740;5095;2;
9741;5095;3;
9742;5094;1;
9743;5094;2;
9744;5094;3;
9746;5516;2;
9748;5517;1;
9749;5517;2;
9750;5517;3;
9751;5518;1;
9752;5518;2;
9753;5518;3;
9754;5519;1;
9755;5519;2;
9756;5520;1;
9757;5520;2;
9758;5521;1;
9759;5521;2;
9760;5516;1;
9761;5522;1;
9762;5522;2;
9763;5523;1;
9764;5523;2;
9765;5507;1;
9766;5507;2;
9767;5508;1;
9768;5508;2;
9770;5437;2;
9771;5437;3;
9772;5437;4;
9773;5223;1;
9774;5223;2;
9775;5223;3;
9776;5224;1;
9777;5224;2;
9778;5224;3;
9779;5436;1;
9780;5436;2;
9781;5436;4;
9783;5436;3;
9784;5436;5;
9785;5436;6;
9790;5225;1;
9791;5225;2;
9792;5225;3;
9794;5222;3;
9795;5222;4;
9796;5222;1;
9797;5222;2;
9798;5226;1;
9799;5226;2;
9800;5226;3;
9801;5226;4;
9802;5226;5;
9803;5505;1;
9804;5505;2;
9805;5505;3;
9806;5506;1;
9807;5506;2;
9809;5506;3;
9810;5458;1;
9811;5458;2;
9812;5458;3;
9813;5458;4;
9815;4939;1;
9816;4939;2;
9817;4939;3;
9818;4940;1;
9819;4940;2;
9820;4940;3;
9821;4940;4;
9822;4941;1;
9823;4941;2;
9824;4941;3;
9825;5496;1;
9826;5496;2;
9827;4933;1;
9828;4933;2;
9829;4933;3;
9830;5500;1;
9831;5500;2;
9832;5500;3;
9833;4934;1;
9834;4934;2;
9835;4934;3;
9836;4934;4;
9837;4935;1;
9838;4935;2;
9839;4935;3;
9840;4935;4;
9841;4932;1;
9842;4932;2;
9843;4932;3;
9844;4942;1;
9845;4942;2;
9846;4942;3;
9847;4943;1;
9848;4943;2;
9849;4943;3;
9850;4936;1;
9851;4936;2;
9852;4936;3;
9853;4936;4;
9854;4931;1;
9855;4931;2;
9856;4931;3;
9857;4938;1;
9858;4938;2;
9859;4938;3;
9860;4937;1;
9861;4937;2;
9862;4937;3;
9863;5313;1;
9864;5313;2;
9865;5313;3;
9866;4930;1;
9867;4930;2;
9868;4930;3;
9869;4930;4;
9870;4930;5;
9871;4929;1;
9872;4929;2;
9873;4929;3;
9874;4929;4;
9875;4929;5;
9876;5524;1;
9877;5524;2;
9883;5525;1;
9884;5525;2;
9885;5437;1;
9886;4956;2;
9887;4760;1;
9888;4760;2;
9889;5492;1;
9890;5492;2;
9891;5492;3;
9892;5494;1;
9893;5494;2;
9894;4758;1;
9895;4758;2;
9896;4758;3;
9897;5374;1;
9898;5374;2;
9899;5374;3;
9900;5374;4;
9901;5312;1;
9902;5312;2;
9904;5312;3;
9905;4754;1;
9906;4754;2;
9907;4754;3;
9908;5211;1;
9909;5211;2;
9910;5211;3;
9911;4759;1;
9912;4759;2;
9913;4759;3;
9914;4757;1;
9915;4757;2;
9916;4756;1;
9917;4756;2;
9918;4756;3;
9919;5369;1;
9920;5369;2;
9921;5369;3;
9922;4777;2;
9924;5394;2;
9925;5394;3;
9926;5394;4;
9927;5394;5;
9929;5395;2;
9930;5395;3;
